PLAYER,STAT,LINE,PROJECTED,EDGE,ODDS,KELLY_SIZE
Jalen Brunson,PRA,35.5,41.0,5.5,-118,10.0
Bam Adebayo,PRA,33.5,38.9,5.4,-104,10.0
Kawhi Leonard,PRA,35.5,40.5,5.0,-118,10.0
Nikola Jokic,PTS,24.5,29.3,4.8,-108,10.0
Kawhi Leonard,PTS,26.5,31.2,4.7,100,9.4
