PLAYER,STAT,LINE,PROJECTED,EDGE,ODDS,KELLY_SIZE
Kawhi Leonard,PTS,25.5,31.2,5.7,-125,10.0
Kawhi Leonard,PRA,36.5,40.5,4.0,-118,8.7
