PLAYER,STAT,FD_LINE,PROJECTION,EDGE,BET,ODDS
Jaden McDaniels,PRA,21.5,27.5,6.0,OVER,-113
Jalen Suggs,PRA,19.5,24.8,5.3,OVER,-113
Donovan Clingan,PRA,22.5,26.8,4.3,OVER,-102
Jalen Suggs,PTS,12.5,16.6,4.1,OVER,-122
Jaden McDaniels,PTS,13.5,17.6,4.1,OVER,-111
Anthony Edwards,PTS,29.5,33.4,3.9,OVER,-115
Jaylen Brown,PRA,41.5,45.3,3.8,OVER,-104
Jaylen Brown,PTS,30.5,33.5,3.0,OVER,-128
Ayo Dosunmu,PRA,18.5,21.5,3.0,OVER,-125
Julius Randle,PTS,21.5,24.4,2.9,OVER,-120
Shaedon Sharpe,PRA,29.5,32.4,2.9,OVER,-118
Sam Hauser,3PM,2.5,5.3,2.8,OVER,120
Jaylon Tyson,PRA,23.5,26.3,2.8,OVER,-113
Shaedon Sharpe,PTS,21.5,24.3,2.8,OVER,-122
Ayo Dosunmu,PTS,12.5,15.1,2.6,OVER,-125
Cedric Coward,PRA,21.5,24.1,2.6,OVER,-104
Cedric Coward,PTS,13.5,16.0,2.5,OVER,-120
Josh Giddey,PTS,14.5,17.0,2.5,OVER,-111
Donovan Clingan,PTS,10.5,13.0,2.5,OVER,-125
Marcus Smart,PTS,9.5,12.0,2.5,OVER,-125
Anthony Edwards,PRA,39.5,42.0,2.5,OVER,-115
Jaylon Tyson,PTS,14.5,16.9,2.4,OVER,100
Neemias Queta,PTS,10.5,12.6,2.1,OVER,-108
Josh Giddey,PRA,29.5,31.5,2.0,OVER,-113
