PLAYER,STAT,FD_LINE,PROJECTION,EDGE,BET,ODDS
Max Christie,PTS,14.5,20.1,5.6,OVER,-120
Naji Marshall,PRA,27.5,32.6,5.1,OVER,-125
Jalen Suggs,PTS,11.5,16.6,5.1,OVER,-115
Jaden McDaniels,PRA,22.5,27.5,5.0,OVER,-120
VJ Edgecombe,PTS,9.5,13.5,4.0,OVER,-114
Jaylen Brown,PTS,29.5,33.5,4.0,OVER,-111
Anthony Edwards,PTS,29.5,33.4,3.9,OVER,-110
Jaylen Brown,PRA,41.5,45.3,3.8,OVER,-111
Jaylon Tyson,PRA,22.5,26.3,3.8,OVER,-108
De'Anthony Melton,PTS,12.5,16.3,3.8,OVER,-132
Klay Thompson,PTS,11.5,15.1,3.6,OVER,-106
Naji Marshall,PTS,17.5,21.0,3.5,OVER,-106
Tyrese Maxey,PTS,22.5,25.9,3.4,OVER,-112
Jaden McDaniels,PTS,14.5,17.6,3.1,OVER,-118
Neemias Queta,PTS,9.5,12.6,3.1,OVER,-104
Ayo Dosunmu,PRA,18.5,21.5,3.0,OVER,-113
Anfernee Simons,PRA,16.5,19.5,3.0,OVER,-102
Matas Buzelis,PRA,20.5,23.4,2.9,OVER,-102
Sam Merrill,PRA,15.5,18.4,2.9,OVER,-104
Daniel Gafford,REB,5.5,8.3,2.8,OVER,112
Brandon Williams,PRA,19.5,22.3,2.8,OVER,-104
Marcus Smart,PRA,14.5,17.3,2.8,OVER,-104
Sam Hauser,3PM,2.5,5.3,2.8,OVER,132
Ayo Dosunmu,PTS,12.5,15.1,2.6,OVER,-113
Anthony Edwards,PRA,39.5,42.0,2.5,OVER,-122
Marcus Smart,PTS,9.5,12.0,2.5,OVER,-130
Jaylon Tyson,PTS,14.5,16.9,2.4,OVER,-113
Sam Merrill,PTS,11.5,13.7,2.2,OVER,-108
Coby White,PTS,17.5,19.6,2.1,OVER,-102
Matas Buzelis,PTS,13.5,15.6,2.1,OVER,-104
Brandon Williams,PTS,13.5,15.6,2.1,OVER,-114
VJ Edgecombe,REB,3.5,5.5,2.0,OVER,116
Josh Giddey,PRA,29.5,31.5,2.0,OVER,-115
Jaylen Brown,REB,6.5,8.5,2.0,OVER,108
Naji Marshall,AST,3.5,5.5,2.0,OVER,116
