PLAYER,STAT,LINE,PROJECTED,EDGE,ODDS,KELLY_SIZE
Jalen Brunson,PRA,35.5,41.0,5.5,-104,10.0
Nikola Jokic,PTS,24.5,29.3,4.8,-106,9.9
Paolo Banchero,PRA,34.5,38.2,3.7,-125,8.3
