PLAYER,STAT,FD_LINE,PROJECTION,EDGE,BET,ODDS
Kawhi Leonard,PRA,32.5,38.5,6.0,OVER,-128
Jaden McDaniels,PRA,21.5,27.5,6.0,OVER,-106
Julian Champagnie,PTS,10.5,16.3,5.8,OVER,-108
Immanuel Quickley,PTS,15.5,21.2,5.7,OVER,-112
Duncan Robinson,PRA,14.5,20.1,5.6,OVER,-122
De'Anthony Melton,PRA,17.5,22.6,5.1,OVER,-106
Duncan Robinson,PTS,10.5,15.5,5.0,OVER,-122
Max Christie,PTS,15.5,20.1,4.6,OVER,-112
Max Christie,PRA,22.5,26.6,4.1,OVER,-130
John Collins,PTS,12.5,16.4,3.9,OVER,-104
Anthony Edwards,PTS,29.5,33.4,3.9,OVER,-110
De'Anthony Melton,PTS,12.5,16.3,3.8,OVER,-130
Naji Marshall,PTS,17.5,21.0,3.5,OVER,-128
Day'Ron Sharpe,PTS,6.5,10.0,3.5,OVER,100
Brandon Ingram,PRA,28.5,31.9,3.4,OVER,-106
Jaden McDaniels,PTS,14.5,17.6,3.1,OVER,-136
Brandon Williams,PTS,12.5,15.6,3.1,OVER,-114
Dwight Powell,REB,5.5,8.6,3.1,OVER,100
Collin Murray-Boyles,PRA,20.5,23.3,2.8,OVER,-125
Jeremiah Fears,REB,2.5,5.3,2.8,OVER,136
Brandon Williams,PRA,19.5,22.3,2.8,OVER,-120
Precious Achiuwa,PTS,6.5,9.2,2.7,OVER,-128
Brandon Ingram,PTS,19.5,22.1,2.6,OVER,-110
Anthony Edwards,PRA,39.5,42.0,2.5,OVER,-122
Jaden McDaniels,AST,2.5,4.6,2.1,OVER,134
Jeremiah Fears,PRA,16.5,18.6,2.1,OVER,-110
Kawhi Leonard,3PM,2.5,4.6,2.1,OVER,-132
Andrew Wiggins,PTS,14.5,16.5,2.0,OVER,-114
Naji Marshall,AST,3.5,5.5,2.0,OVER,114
